epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.804,1.81577,2.30367,1.29618,0.68883,0.44705,0.52282,0.2556,1.94412,2.07664,1.38786,0.000553703,0.000553703,0.000553703
2,549.659,1.76896,1.67541,1.27597,0.64392,0.51154,0.56819,0.30753,1.85125,1.7442,1.37964,0.00103615,0.00103615,0.00103615
3,786.819,1.79491,1.57713,1.29003,0.72959,0.55585,0.65034,0.33825,1.84754,1.55734,1.33444,0.00144525,0.00144525,0.00144525
